Family_AC,Family_ID,Description
RF01238,snR70,Small nucleolar RNA snR70
RF01239,snR49,Small nucleolar RNA snR49
RF01240,snR85,Small nucleolar RNA snR85
RF01241,SNORA81,Small nucleolar RNA SNORA81
RF01242,snR36,Small nucleolar RNA snR36
RF01243,snR33,Small nucleolar RNA snR33
RF01244,snR4,Small nucleolar RNA snR4
RF01245,snR9,Small nucleolar RNA snR9
RF01246,snR81,Small nucleolar RNA snR81
RF01247,snR32,Small nucleolar RNA snR32
RF01248,snR8,Small nucleolar RNA snR8
RF01249,snR190,Small nucleolar RNA snR190
RF01250,snR189,Small nucleolar RNA snR189
RF01251,snR3,Small nucleolar RNA snR3
RF01252,snR5,Small nucleolar RNA snR5
RF01253,snR46,Small nucleolar RNA snR46
RF01254,snR34,Small nucleolar RNA snR34
RF01255,snR35,Small nucleolar RNA snR35
RF01256,snR43,Small nucleolar RNA snR43
RF01257,snR31,Small nucleolar RNA snR31
RF01258,snR10,Small nucleolar RNA snR10
RF01259,snR63,Small nucleolar RNA snR63
RF01260,snR11,Small nucleolar RNA snR11
RF01261,snR82,Small nucleolar RNA snR82
RF01262,snR44,Small nucleolar RNA snR44
RF01263,snR191,Small nucleolar RNA snR191
RF01264,snR83,Small nucleolar RNA snR83
RF01265,snR42,Small nucleolar RNA snR42
RF01266,snR45,Small nucleolar RNA snR45
RF01267,snR37,Small nucleolar RNA snR37
RF01268,SCARNA2,Small Cajal body-specific RNA 2
RF01269,snR80,Small nucleolar RNA snR80
RF01270,snR84,Small nucleolar RNA snR84
RF01272,snR86,Small nucleolar RNA snR86
RF01273,sR34,Small nucleolar RNA sR34
RF01274,sR45,Small nucleolar RNA sR45
RF01275,sR22,Small nucleolar RNA sR22
RF01276,sR53,Small nucleolar RNA sR53
RF01277,snoU54,Small nucleolar RNA U54
RF01278,SNORD109A,Small nucleolar RNA SNORD109A
RF01279,snoR53Y,Small nucleolar RNA snoR53Y
RF01280,snoR14,Small nucleolar RNA snoR14
RF01281,snoR35,Small nucleolar RNA snoR35
RF01283,snoU30,Small nucleolar RNA U30
RF01284,snoR8a,Small nucleolar RNA snoR8a
RF01285,snoU31b,Small nucleolar RNA U31b
RF01286,snoR26,Small nucleolar RNA snoR26
RF01287,snoR27,Small nucleolar RNA snoR27
RF01288,snoR31,Small nucleolar RNA snoR31
RF01289,snoR17,Small nucleolar RNA snoR17
RF01290,SNORD10,Small nucleolar RNA SNORD10
RF01291,SNORD97,Small nucleolar RNA SNORD97
RF01292,snoR2,Small nucleolar RNA snoR2/U65
RF01293,ACA59,Small nucleolar RNA ACA59
RF01294,snoU89,Small nucleolar RNA U89
RF01295,SCARNA7,Small Cajal body-specific RNA 7
RF01296,snoU85,Small nucleolar RNA U85
RF01297,sR40,Small nucleolar RNA sR40
RF01298,snoU25,Small nucleolar RNA U25
RF01299,SNORD2,Small nucleolar RNA SNORD2
RF01300,snoU49,Small nucleolar RNA U49
RF01301,snoR4a,Small nucleolar RNA snoR4a
RF01302,snoU36a,SnoRNA U36a
RF01303,sR49,Small nucleolar RNA sR49
RF01304,sR5,Small nucleolar RNA sR5
RF01305,sR51,Small nucleolar RNA sR51
RF01306,sR52,Small nucleolar RNA sR52
RF01307,sR55,Small nucleolar RNA sR55
RF01308,sR58,Small nucleolar RNA sR58
RF01309,sR60,Small nucleolar RNA sR60
RF01310,sR7,Small nucleolar RNA sR7
RF01312,sR9,Small nucleolar RNA sR9
RF01313,AHBV_epsilon,Avian HBV RNA encapsidation signal epsilon
RF01314,mir-1227,microRNA mir-1227
RF01315,CRISPR-DR2,CRISPR RNA direct repeat element
RF01316,CRISPR-DR3,CRISPR RNA direct repeat element
RF01318,CRISPR-DR5,CRISPR RNA direct repeat element
RF01319,CRISPR-DR6,CRISPR RNA direct repeat element
RF01320,CRISPR-DR7,CRISPR RNA direct repeat element
RF01321,CRISPR-DR8,CRISPR RNA direct repeat element
RF01322,CRISPR-DR9,CRISPR RNA direct repeat element
RF01323,CRISPR-DR10,CRISPR RNA direct repeat element
RF01324,CRISPR-DR11,CRISPR RNA direct repeat element
RF01325,CRISPR-DR12,CRISPR RNA direct repeat element
RF01326,CRISPR-DR13,CRISPR RNA direct repeat element
RF01327,CRISPR-DR14,CRISPR RNA direct repeat element
RF01328,CRISPR-DR17,CRISPR RNA direct repeat element
RF01329,CRISPR-DR15,CRISPR RNA direct repeat element
RF01331,CRISPR-DR18,CRISPR RNA direct repeat element
RF01332,CRISPR-DR19,CRISPR RNA direct repeat element
RF01333,CRISPR-DR20,CRISPR RNA direct repeat element
RF01334,CRISPR-DR21,CRISPR RNA direct repeat element
RF01336,CRISPR-DR23,CRISPR RNA direct repeat element
RF01337,CRISPR-DR24,CRISPR RNA direct repeat element
RF01338,CRISPR-DR25,CRISPR RNA direct repeat element
RF01339,CRISPR-DR27,CRISPR RNA direct repeat element
RF01340,CRISPR-DR29,CRISPR RNA direct repeat element
RF01341,CRISPR-DR30,CRISPR RNA direct repeat element
RF01342,CRISPR-DR32,CRISPR RNA direct repeat element
RF01343,CRISPR-DR33,CRISPR RNA direct repeat element
RF01345,CRISPR-DR35,CRISPR RNA direct repeat element
RF01346,CRISPR-DR36,CRISPR RNA direct repeat element
RF01347,CRISPR-DR37,CRISPR RNA direct repeat element
RF01348,CRISPR-DR38,CRISPR RNA direct repeat element
RF01349,CRISPR-DR40,CRISPR RNA direct repeat element
RF01350,CRISPR-DR41,CRISPR RNA direct repeat element
RF01351,CRISPR-DR42,CRISPR RNA direct repeat element
RF01352,CRISPR-DR43,CRISPR RNA direct repeat element
RF01353,CRISPR-DR44,CRISPR RNA direct repeat element
RF01354,CRISPR-DR45,CRISPR RNA direct repeat element
RF01355,CRISPR-DR26,CRISPR RNA direct repeat element
RF01356,CRISPR-DR28,CRISPR RNA direct repeat element
RF01357,CRISPR-DR31,CRISPR RNA direct repeat element
RF01358,CRISPR-DR39,CRISPR RNA direct repeat element
RF01359,CRISPR-DR46,CRISPR RNA direct repeat element
RF01360,CRISPR-DR47,CRISPR RNA direct repeat element
RF01361,CRISPR-DR48,CRISPR RNA direct repeat element
RF01362,CRISPR-DR49,CRISPR RNA direct repeat element
RF01363,CRISPR-DR50,CRISPR RNA direct repeat element
RF01364,CRISPR-DR51,CRISPR RNA direct repeat element
RF01365,CRISPR-DR52,CRISPR RNA direct repeat element
RF01366,CRISPR-DR53,CRISPR RNA direct repeat element
RF01367,CRISPR-DR54,CRISPR RNA direct repeat element
RF01368,CRISPR-DR55,CRISPR RNA direct repeat element
RF01369,CRISPR-DR56,CRISPR RNA direct repeat element
RF01370,CRISPR-DR57,CRISPR RNA direct repeat element
RF01371,CRISPR-DR58,CRISPR RNA direct repeat element
RF01373,CRISPR-DR60,CRISPR RNA direct repeat element
RF01374,CRISPR-DR61,CRISPR RNA direct repeat element
RF01375,CRISPR-DR62,CRISPR RNA direct repeat element
RF01376,CRISPR-DR63,CRISPR RNA direct repeat element
RF01377,CRISPR-DR64,CRISPR RNA direct repeat element
RF01378,CRISPR-DR65,CRISPR RNA direct repeat element
RF01379,CRISPR-DR66,CRISPR RNA direct repeat element
RF01382,HIV-1_SL4,HIV-1 stem-loop 4 packaging signal
RF01383,GRIK4_3p_UTR,GRIK4 3 prime UTR element
RF01384,InvR,Invasion gene-associated RNA
RF01385,isrA,isrA Hfq binding RNA
RF01386,isrB,isrB Hfq binding RNA
RF01387,isrC,isrC Hfq binding RNA
RF01388,isrD,isrD Hfq binding RNA
RF01389,isrF,isrF Hfq binding RNA
RF01390,isrG,isrG Hfq binding RNA
RF01391,isrH,isrH Hfq binding RNA
RF01392,isrI,isrI Hfq binding RNA
RF01393,isrJ,isrJ Hfq binding RNA
RF01394,isrK,isrK Hfq binding RNA
RF01395,isrL,isrL Hfq binding RNA
RF01396,isrN,isrN Hfq binding RNA
RF01397,isrO,isrO Hfq binding RNA
RF01398,isrP,isrP Hfq binding RNA
RF01399,isrQ,isrQ Hfq binding RNA
RF01400,istR,istR Hfq binding RNA
RF01401,rseX,rseX Hfq binding RNA
RF01402,STnc150,STnc150 Hfq binding RNA
RF01403,STnc290,STnc290 Hfq binding RNA
RF01404,PinT,PinT (STnc440) Hfq binding RNA
RF01405,STnc490,STnc490 Hfq binding RNA
RF01406,STnc500,STnc500 Hfq binding RNA
RF01407,STnc560,STnc560 Hfq binding RNA
RF01408,sraL,sraL Hfq binding RNA
RF01409,STnc250,STnc250 Hfq binding RNA
RF01410,BsrC,BsrC
RF01411,BsrF,BsrF
RF01412,BsrG,BsrG
RF01413,miR-430,miR-430 microRNA precursor family
RF01414,Dicty_Class_I_RNA,Class I RNA from Dictyostelium
RF01416,NrrF,NrrF RNA
RF01417,RSV_RNA,Retroviral 3'UTR stability element
RF01418,HIV_POL-1_SL,HIV pol-1 stem loop
RF01419,IsrR,Antisense RNA which regulates isiA expression
RF01420,snoR113,Small nucleolar RNA snoR113
RF01421,snoR114,small nucleolar RNA snoR114
RF01422,snoR116,small nucleolar RNA snoR116
RF01423,snoR117,small nucleolar RNA snoR117
RF01424,snoR118,small nucleolar RNA snoR118
RF01425,snoR121,small nucleolar RNA snoR121
RF01426,snoR126,small nucleolar RNA snoR126
RF01427,snoR127,small nucleolar RNA snoR127
RF01428,snoR128,small nucleolar RNA snoR128
RF01429,snoR130,small nucleolar RNA snoR130
RF01430,snoR134,small nucleolar RNA snoR134
RF01431,snoR135,small nucleolar RNA snoR135
RF01432,snoR143,small nucleolar RNA snoR143
RF01433,snoR137,small nucleolar RNA snoR137
RF01434,S_pombe_snR3,small nucleolar RNA snR3
RF01435,S_pombe_snR5,small nucleolar RNA snR5
RF01436,S_pombe_snR33,small nucleolar RNA snR33
RF01437,S_pombe_snR10,small nucleolar RNA snR10
RF01438,S_pombe_snR35,small nucleolar RNA snR35
RF01439,S_pombe_snR36,small nucleolar RNA snR36
RF01440,S_pombe_snR42,small nucleolar RNA snR42
RF01441,S_pombe_snR46,small nulceolar RNA snR46
RF01442,S_pombe_snR90,small nucleolar RNA snR90
RF01443,S_pombe_snR91,small nucleolar RNA snR91
RF01444,S_pombe_snR92,small nucleolar RNA snR92
RF01445,S_pombe_snR94,small nucleolar RNA snR94
RF01446,S_pombe_snR95,small nucleolar RNA snR95
RF01447,S_pombe_snR98,small nucleolar RNA snR98
RF01448,S_pombe_snR93,small nucleolar RNA snR93
RF01449,S_pombe_snR100,small nucleolar RNA snR100
RF01450,S_pombe_snR96,small nucleolar RNA snR96
RF01451,S_pombe_snR97,small nucleolar RNA snR97
RF01452,S_pombe_snR99,small nucleolar RNA snR99
RF01453,RCNMV_TE_DR1,3'TE-DR1 translation enhancer element
RF01454,RCNMV_5UTR,5'UTR enhancer element
RF01455,DPB,Stem loopII regulatory element in POLB
RF01456,VrrA,Vibrio regulatory RNA of OmpA
RF01457,rli22,Listeria sRNA rli22
RF01458,rli23,Listeria snRNA rli23
RF01459,rliE,Listeria sRNA rliE
RF01460,rliH,Listeria sRNA rliH
RF01461,rli24,Listeria sRNA rli22
RF01462,rli26,Listeria sRNA rli26
RF01463,rli27,Listeria sRNA rli27
RF01464,rliA,Listeria sRNA rliA
RF01465,rli31,Listeria sRNA rli31
RF01466,rli34,Listeria sRNA rli34
RF01467,rli36,Listeria sRNA rli36
RF01468,rli32,Listeria sRNA rli32
RF01469,rli33,Listeria sRNA rli33
RF01470,rli38,Listeria sRNA rli38
RF01471,rliB,Listeria sRNA rliB
RF01472,rli40,Listeria sRNA rli40
RF01473,rli41,Listeria sRNA rli41
RF01474,rli42,Listeia sRNA rli42
RF01475,rli45,Listeria snRNA rli45
RF01476,rliF,Listeria sRNA rliF
RF01477,rli43,Listeria sRNA rli43
RF01478,rli47,Listeria sRNA rli47
RF01479,rli48,Listeria sRNA rli48
RF01480,rli52,Listeria sRNA rli52
RF01481,rli53,Listeria sRNA rli53
RF01482,AdoCbl,AdoCbl (Cobalamin/B12) riboswitch aptamer
RF01483,rli56,Listeria sRNA rli56
RF01484,rli59,Listeria sRNA rli59
RF01485,rli61,Listeria sRNA rli61
RF01486,rli62,Listeria sRNA rli62
RF01487,rliI,Listeria sRNA rliI
RF01488,rli49,Listeria sRNA rli49
RF01489,sbrA,Listeria sRNA sbrA
RF01490,rli51,Listeria snRNA rli51
RF01491,rli54,Listeria sRNA rli54
RF01492,rli28,Listeria sRNA rli28
RF01493,rli37,Listeria sRNA rli37
RF01494,rliD,Listeria sRNA rliD
RF01495,ACAT,Human acetyl-coA cholesterol acyltransferase mRNA
RF01496,Afu_182,A. fumigatus sRNA Afu_182
RF01497,ALIL,ALIL pseudoknot
RF01498,Afu_190,A. fumigatus snoRNA Afu_190
RF01499,Afu_191,A. fumigatus snoRNA Afu_191
RF01500,Afu_198,A. fumigatus snoRNA Afu_198
RF01501,Afu_199,A. fimigatus snoRNA Afu_199
RF01502,Fungi_SRP,Fungal signal recognition particle RNA
RF01503,Afu_203,A. fumigatus sRNA Afu_203
RF01504,Afu_254,A. fumigatus sRNA Afu_254
RF01505,Afu_264,A. fumigatus snoRNA Afu_264
RF01506,Afu_294,A. fumigatus snoRNA Afu_294
RF01507,Afu_298,A. fimigatus snoRNA Afu_298
RF01508,BYDV_5_UTR,Barley yellow dwarf virus 5'UTR
RF01509,Afu_300,A. fumigatus snoRNA Afu_300
RF01511,Afu_304,A. fumigatus snoRNA Afu_304
RF01512,Afu_309,A. fumigatus sRNA Afu_309
RF01513,Afu_335,A. fumigatus snoRNA Afu_335
RF01514,Afu_513,A. fumigatus snoRNA Afu_513
RF01515,Afu_514,A. fumigatus snoRNA Afu_514
RF01516,v-snoRNA-1,Human herpesvirus 1 small nucleolar RNA
RF01517,iscRS,iscR stability element
RF01518,pRNA,"NoRC associated RNA, pRNA"
RF01519,CC0196,Caulobacter sRNA CC0196
RF01520,CC0734,caulobacter sRNA CC0734
RF01521,CC1840,caulobacter sRNA CC1840
RF01522,TB10Cs1H1,Trypanosomatid snoRNA TB10Cs1H1
RF01523,TB10Cs1H2,Trypanosomatid snoRNA TB10Cs1H2
RF01524,TB10Cs1H3,Trypanosomatid snoRNA TB10cs1H3
RF01525,TB10Cs2H1,Trypanosomatid snoRNA TB10Cs2H1
RF01526,ceN106,C. elegans snoRNA ceN106
RF01527,CrfA,Caulobacter sRNA CrfA
RF01528,CC3513,caulobacter sRNA CC3513
RF01529,CC3552,Cauldobacter sRNA CC3552
RF01530,CC3664,Caulobacter sRNA CC3664
RF01531,TB10Cs3H1,Trypanosomatid snoRNA TB10Cs3H1
RF01532,TB10Cs3H2,Trypanosomatid snoRNA TB10Cs3H2
RF01533,TB10Cs4H3,Trypanosomatid snoRNA TB10Cs4H3
RF01534,TB10Cs4H4,Trypanosomatid snoRNA TB10Cs4H4
RF01535,TB10Cs5H2,Trypanosomatid snoRNA TB10Cs5H2
RF01536,TB10Cs5H3,Trypanosomatid snoRNA TB10Cs5H3
RF01537,TB11Cs2H1,Trypanosomatid snoRNA TB11Cs2H1
RF01538,TB11Cs3H1,Trypanosomatid snoRNA TB11Cs3H1
RF01539,TB11Cs4H1,Trypanosomatid snoRNA TB11Cs4H1
RF01540,TB11Cs4H2,Trypanosomatid snoRNA TB11Cs4H2
RF01541,TB11Cs4H3,Trypanosomatid snoRNA TB11Cs4H3
RF01542,TB11Cs5H1,Trypanosomatid snoRNA TB11Cs5H1
RF01543,TB11Cs5H2,Trypanosomatid snoRNA TB11Cs5H2
RF01544,TB11Cs5H3,Trypanosomatid snoRNA TB11Cs5H3
RF01545,TB3Cs2H1,Trypanosomatid snoRNA TB3Cs2H1
RF01546,TB6Cs1H1,Trypanosomatid snoRNA TB6Cs1H1
RF01547,TB6Cs1H3,Trypanosomatid snoRNA TB6Cs1H3
RF01548,TB6Cs1H4,Trypanosomatid snoRNA TB6Cs1H4
RF01549,TB8Cs2H1,Trypanosomatid snoRNA TB8Cs2H1
RF01550,TB8Cs3H1,Trypanosomatid snoRNA TB8Cs3H1
RF01551,TB8Cs4H2,Trypanosomatid snoRNA TB8Cs4H2
RF01552,TB9Cs1H2,Trypanosomatid snoRNA TB9Cs1H2
RF01553,TB9Cs1H3,Trypanosomatid snoRNA TB9Cs1H3
RF01554,TB9Cs2H1,Trypanosomatid snoRNA TB9Cs2H1
RF01555,TB9Cs3H1,Trypanosomatid snoRNA TB9Cs3H1
RF01556,TB9Cs3H2,Trypanosomatid snoRNA TB9Cs3H2
RF01557,TB9Cs4H1,Trypanosomatid snoRNA TB9Cs4H1
RF01558,TB9Cs4H2,Trypanosomatid snoRNA TB9Cs4H2
RF01559,DdR1,Dictyostelium snoRNA DdR1
RF01560,DdR10,Dictyostelium snoRNA DdR10
RF01561,DdR11,Dictyostelium snoRNA DdR11
RF01562,DdR12,D. discoideum snoRNA DdR12
RF01563,DdR13,Dictyostelium snoRNA DdR13
RF01564,DdR14,D. discoideum snoRNA DdR14
RF01565,DdR15,Dictyostelium snoRNA DdR15
RF01566,DdR16,Dictyostelium snoRNA DdR16
RF01567,DdR17,D. discoideum snoRNA DdR17
RF01568,DdR18,Dictyostelium snoRNA DdR18
RF01569,DdR2,Dictyostelium snoRNA DdR2
RF01570,Dictyostelium_SRP,Dictyostelium signal recognition particle
RF01572,DdR4,Dictyostelium snoRNA DdR4
RF01573,DdR5,Dictyostelium snoRNA DdR5
RF01574,DdR6,Dictyostelium snoRNA DdR6
RF01575,DdR7,Dictyostelium snoRNA Dd7
RF01576,DdR8,D. discoideum snoRNA DdR8
RF01577,RNase_P,Plasmodium RNase_P
RF01578,RUF1,Plasmodium RNA of unkown function RUF1
RF01579,RUF2,Plasmodium RNA of unknown function RUF2
RF01580,RUF3,Plasmodium RNA of unkown function RU6-F3
RF01581,RUF6-5,Plasmodium RNA of unknown function RUF6-5
RF01582,RUF4,RNA of unknown function RUF4
RF01583,snoR01,small nucleolar RNA snoR01
RF01584,snoR03,small nucleolar RNA snoR03
RF01585,snoR07,small nucleolar RNA snoR07
RF01586,snoR09,small nucleolar RNA snoR09
RF01587,snoR10,small nucleolar RNA snoR10
RF01588,snoR13,small nucleolar RNA snoR13
RF01589,plasmodium_snoR11,small nucleolar RNA snoR11
RF01590,plasmodium_snoR14,small nucleolar RNA snoR14
RF01591,snoR15,small nucleolar RNA snoR15
RF01592,plasmodium_snoR17,small nucleolar RNA snoR17
RF01593,plasmodium_snoR16,small nucleolar RNA snoR16
RF01594,snoR18,small nucleolar RNA snoR18
RF01595,snoR19,small nucleolar RNA snoR19
RF01596,plasmodium_snoR20,small nucleolar RNA snoR20
RF01597,snoR22,small nucleolar RNA snoR22
RF01598,snoR23,small nucleolar RNA snoR23
RF01599,plasmodium_snoR24,small nucleolar RNA snoR24
RF01600,snoR25,small nucleolar RNA snoR25
RF01601,plasmodium_snoR26,small nucleolar RNA snoR26
RF01602,plasmodium_snoR27,small nucleolar RNA snoR27
RF01603,snoR29,small nucleolar RNA snoR29
RF01604,plasmodium_snoR28,small nucleolar RNA snoR28
RF01605,plasmodium_snoR30,small nucleolar RNA snoR30
RF01606,plasmodium_snoR31,small nucleolar RNA snoR31
RF01607,ceN100,C. elegans snoRNA ceN100
RF01608,ceN102,Caenorhabditis snoRNA ceN80
RF01609,ceN103,Caenorhabditis snoRNA ceN103
RF01610,ceN104,Caenorhabditis snoRNA ceN104
RF01611,ceN108,Caenorhabditis snoRNA ceN108
RF01612,ceN105,Nematode snoRNA ceN105
RF01613,ceN109,Nematode snoRNA ceN109
RF01614,ceN110,Caenorhabditis snoRNA ceN110
RF01615,ceN111,Nematode snoRNA ceN111
RF01617,ceN113,Caenorhabditis snoRNA ceN113
RF01618,ceN114,Nematode snoRNA ceN114
RF01619,ceN115,C. elegans sRNA ceN115
RF01620,ceN125,Nematode snoRNA ceN125
RF01621,ceN126,Caenorhabditis snoRNA ceN126
RF01622,ceN22,Nematode snoRNA ceN22
RF01623,ceN23-1,Caenorhabditis sRNA ceN23-1
RF01624,ceN27,Nematode snoRNA ceN27
RF01625,ceN28,Caenorhabditis snoRNA ceN28
RF01626,ceN30,Caenorhabditis snoRNA ceN30
RF01627,ceN36-1,Nematode snoRNA ceN36-1
RF01628,ceN38,Caenorhabditis snoRNA ceN38
RF01629,ceN39,Nematode snoRNA ceN39
RF01630,ceN40,Nematode snoRNA ceN40
RF01631,ceN41,Caenorhabditis snoRNA ceN41
RF01632,ceN42,Caenorhabditis snoRNA ceN42
RF01633,ceN43,Caenorhabditis snoRNA ceN43
RF01634,ceN44,Caenorhabditis snoRNA ceN44
RF01635,ceN45,Caenorhabditis snoRNA ceN45
RF01636,ceN46,Caenorhabditis snoRNA ceN46
RF01637,ceN47,Nematode snoRNA ceN47
RF01638,ceN48,Caenorhabditis snoRNA ceN48
RF01639,ceN49,Caenorhabditis snoRNA ceN49
RF01640,ceN51,Caenorhabditis snoRNA ceN51
RF01641,ceN53,Caenorhabditis snoRNA ceN53
RF01642,ceN54,Caenorhabditis snoRNA ceN54
RF01643,ceN56,Caenorhabditis sRNA ceN56
RF01644,ceN59,Caenorhabditis snoRNA ceN59
RF01645,ceN58,Nematode snoRNA ceN58
RF01646,ceN63,Caenorhabditis snoRNA ceN63
RF01647,ceN61,Caenorhabditis snoRNA ceN61
RF01648,ceN65,Caenorhabditis snoRNA ceN65
RF01649,ceN67,Caenorhabditis snoRNA ceN67
RF01650,ceN68,Caenorhabditis snoRNA ceN48
RF01651,ceN69,Caenorhabditis snoRNA ceN69
RF01652,ceN70,Caenorhabditis snoRNA ceN70
RF01653,ceN80,Caenorhabditis snoRNA ceN80
RF01654,ceN82,Caenorhabditis snoRNA ceN82
RF01655,ceN84,Caenorhabditis snoRNA ceN84
RF01656,ceN72-3_ceN74-2,Nematode sRNA ceN72-3_ceN74-2
RF01658,ceN81,Caenorhabditis snoRNA ceN81
RF01659,ceN86,Caenorhabditis snoRNA ceN86
RF01660,ceN88,Nematode snoRNA ceN88
RF01661,ceN92,Caenorhabditis snoRNA ceN92
RF01662,ceN89,Caenorhabditis snoRNA ceN89
RF01663,ceN93,Caenorhabditis sRNA ceN93
RF01664,ceN101,Caenorhabditis snoRNA ceN101
RF01665,P13,Pseudomonas sRNA P13
RF01666,rox2,Drosophila rox2 ncRNA
RF01667,rox1,Drosophila rox1 ncRNA
RF01668,P10,Pseudomonas sRNA P10
RF01669,P14,Pseudomonas sRNA P14
RF01670,P17,Pseudomonas sRNA P17
RF01671,P18,Pseudomonas sRNA P18
RF01672,P2,Psudomonas sRNA P2
RF01673,PhrS,PhrS
RF01674,P27,Pseudomonas sRNA P27
RF01675,CrcZ,Pseudomonas sRNA CrcZ
RF01676,P31,Pseudomonas sRNA P31
RF01677,P35,Pseudomonas sRNA P35
RF01678,P37,Pseudomonas sRNA P37
RF01679,P36,Pseudomonas sRNA P36
RF01680,P5,Pseudomonas sRNA P5
RF01681,P4,Pseudomonas sRNA P4
RF01682,P8,Pseudomonas sRNA P8
RF01683,P6,Pseudomonas sRNA P6
RF01685,6S-Flavo,6S-Flavo RNA
RF01686,Acido-1,Acido-1 RNA
RF01687,Acido-Lenti-1,Acido-Lenti-1 RNA
RF01688,Actino-pnp,Actino-pnp RNA
RF01690,Bacillaceae-1,Bacillaceae-1 RNA
RF01691,Bacillus-plasmid,Bacillus-plasmid RNA
RF01692,Bacteroid-trp,Bacteroidete tryptophan peptide leader RNA
RF01693,Bacteroidales-1,Bacteroidales-1 6S-Bacteroidales RNA suggested
RF01694,Bacteroides-1,Bacteroides-1 RNA
RF01695,C4,C4 antisense RNA
RF01696,Chlorobi-1,Chlorobi-1 RNA
RF01697,Chlorobi-RRM,Chlorobi-RRM RNA
RF01698,Chloroflexi-1,Chloroflexi-1 RNA
RF01699,Clostridiales-1,Clostridiales-1 RNA
RF01700,Collinsella-1,Collinsella-1 RNA
RF01701,Cyano-1,Cyano-1 RNA
RF01702,Cyano-2,Cyano-2 RNA
RF01703,Dictyoglomi-1,Dictyoglomi-1 RNA
RF01705,Flavo-1,Flavo-1 RNA
RF01706,Gut-1,Gut-1 RNA
RF01707,JUMPstart,JUMPstart RNA
RF01708,L17DE,L17 ribosomal protein downstream element
RF01709,Lacto-rpoB,Lacto-rpoB RNA
RF01710,Lacto-usp,Lacto-usp RNA
RF01711,Lnt,Lnt RNA
RF01712,Methylobacterium-1,Methylobacterium-1 RNA
RF01713,Moco-II,Moco-II RNA
RF01714,Ocean-V,Ocean-V RNA
RF01715,Pedo-repair,Pedo-repair RNA
RF01716,PhotoRC-I,PhotoRC-I RNA
RF01717,PhotoRC-II,PhotoRC-II RNA
RF01718,Polynucleobacter-1,Polynucleobacter-1 RNA
RF01719,Pseudomon-1,Pseudomon-1/ErsA RNA
RF01720,Pseudomon-Rho,Pseudomon-Rho RNA
RF01721,Pseudomon-groES,Pseudomon-groES RNA
RF01722,Pyrobac-1,Pyrobac-1 RNA
RF01723,Rhizobiales-2,Rhizobiales-2 RNA
RF01724,SAM-Chlorobi,SAM-Chlorobi RNA
RF01726,SAM-II,SAM-II riboswitch aptamer (SAM-II long loop)
RF01728,STAXI,STAXI RNA
RF01729,Termite-flg,Termite-flg RNA
RF01730,Termite-leu,Termite-leu RNA
RF01731,TwoAYGGAY,TwoAYGGAY RNA
RF01732,asd,MarS sRNA
RF01733,atoC,atoC RNA
RF01735,epsC,epsC RNA
RF01736,flg-Rhizobiales,flg-Rhizobiales RNA
RF01737,flpD,flpD RNA
RF01738,gabT,gabT RNA
RF01740,gyrA,gyrA RNA
RF01742,lactis-plasmid,lactis-plasmid RNA
RF01743,leu-phe_leader,leu/phe leader RNA from Lactococcus
RF01744,livK,livK RNA
RF01745,manA,manA RNA
RF01746,mraW,mraW RNA
RF01747,msiK,msiK RNA
RF01748,nuoG,nuoG RNA
RF01749,pan,pan motif
RF01751,potC,potC RNA
RF01752,psaA,psaA RNA
RF01753,psbNH,psbNH RNA
RF01754,radC,radC RNA
RF01755,rmf,rmf RNA
RF01756,rne-II,rne-II RNA
RF01757,sbcD,sbcD RNA
RF01758,sucA-II,sucA-II RNA
RF01759,sucC,sucC RNA
RF01760,traJ-II,traJ-II RNA
RF01761,wcaG,wcaG RNA
RF01762,whalefall-1,Whalefall-1 RNA
RF01765,srg1,srg1
RF01766,cspA,cspA thermoregulator
RF01767,SAM-III,SAM-III riboswitch aptamer (SMK box)
RF01768,flavi_FSE,ribosomal frameshift site
RF01769,greA,Enterobacteria greA leader
RF01770,rimP,Gammaprotebacteria rimP leader
RF01771,rnk_leader,Enterobacteria rnk leader
RF01772,rnk_pseudo,Pseudomonas rnk leader
RF01773,rpsL_pseudo,Pseudomonas rpsL leader
RF01774,rpsL_ricks,Rickettsia rpsL leader
RF01775,RsaOG,RNA S.aureus Orsay G
RF01776,RatA,RNA anti-toxin A
RF01778,Evf-2_5p,Embryonic ventral forebrain-2 long ncRNA
RF01779,AS1726,AS1726 sRNA
RF01780,AS1890,AS1890 sRNA
RF01781,ASdes,ASdes TB sRNA
RF01782,ASpks,ASpks TB sRNA
RF01783,b55,Mycobacterium B11
RF01784,bablM,bablM sRNA
RF01785,blv_FSE,ribosomal frameshift site
RF01787,drz-agam-1,drz-agam-1 ribozyme
RF01788,drz-agam-2-2,drz-agam-2-2 ribozyme
RF01789,EBER1,Epstein-Barr virus EBER1
RF01790,htlv_FSE,ribosomal frameshift site
RF01791,F6,F6 TB sRNA
RF01792,eiav_FSE,ribosomal frameshift site
RF01793,ffh,ffh sRNA
RF01794,sok,sok antitoxin (CssrC)
RF01795,FourU,FourU thermometer RNA element
RF01796,frnS,Fumarate/nitrate reductase regulator sRNA
RF01797,fstAT,Fst antitoxin sRNA
RF01798,g2,G2
RF01800,gadd7,growth arrested DNA-damage inducible gene 7
RF01802,HSUR,Herpesvirus saimiri U RNA1/RNA2
